venue_id,name,address,city,country,capacity,latitude,longitude
522,JobServe Community Stadium,United Way,"Colchester, Essex",England,10083,51.9234391,0.8976478
19200,Broadfield Stadium,Brighton Road,"Crawley, West Sussex",England,6134,,
11876,Mornflake Stadium,Gresty Road,"Crewe, Cheshire",England,10153,53.0874020,-2.4357333
532,St James Park,Stadium Way,"Exeter, Devon",England,8830,,
538,Blundell Park,Blundell Park,"Cleethorpes, North East Lincolnshire",England,9546,53.5702297,-0.0465117
12677,The Suit Direct Stadium,Clarence Road,"Hartlepool, County Durham",England,7856,,
587,The Lamex Stadium,Broadhall Way,"Stevenage, Hertfordshire",England,7100,51.8896479,-0.1937405
496,The Hive Stadium,"Camrose Avenue, Canons Park, Edgware",London,England,6418,,
515,Abbey Stadium,Newmarket Road,"Cambridge, Cambridgeshire",England,10847,52.2120297,0.1541831
517,Brunton Park,Warwick Road,"Carlisle, Cumbria",England,18202,,
18617,Completely-Suzuki Stadium,Whaddon Road,"Cheltenham, Gloucestershire",England,7066,51.9061648,-2.0602259
18618,Brisbane Road,"Brisbane Road, Leyton",London,England,9271,51.5600713,-0.0125999
557,One Call Stadium,Quarry Lane,"Mansfield, Nottinghamshire",England,9186,53.1380561,-1.2009171
11880,Mazuma Stadium,Morecambe Road,"Morecambe, Lancashire",England,6476,,
567,Meadow Lane,Meadow Lane,"Nottingham, Nottinghamshire",England,19588,52.9186928,-1.2261595
603,Huish Park Stadium,"Lufton Way, Lufton","Yeovil, Somerset",England,9665,50.9502102,-2.6740629
19201,The Bolt New Lawn,Smiths Way,"Nailsworth, Gloucestershire",England,5140,51.6990021,-2.2378877
10610,LNER Stadium,Sincil Bank,"Lincoln, Lincolnshire",England,10780,53.2183000,-0.5408655
12213,The Leasing.com Stadium,London Road,"Macclesfield, Cheshire",England,6355,,
594,Prenton Park,Prenton Road West,"Birkenhead, Merseyside",England,16567,,
489,Wembley Stadium,"Stadium Way, Wembley, Brent",London,England,90000,51.5570553,-0.2855462
493,Electrical Services Stadium,High Street,"Aldershot, Hampshire",England,7100,,
19197,SO Legal Stadium,Holker Street,"Barrow-in-Furness, Cumbria",England,6500,,
21313,Deva Stadium,Bumpers Lane,"Chester, Cheshire",England,5376,53.1892245,-2.9234720
526,Chigwell Construction Stadium,Victoria Road,"Dagenham, Essex",England,6078,,
530,Silverlake Stadium,Stoneham Lane,"Eastleigh, Hampshire",England,5250,50.9524511,-1.3719149
536,Gateshead International Stadium,Neilson Road,"Gateshead, Tyne and Wear",England,11750,54.9609460,-1.5798031
2691,Nethermoor Park,Otley Road,"Guiseley, West Yorkshire",England,3000,,
554,Gallagher Stadium,James Whatman Way,"Maidstone, Kent",England,4200,,
19705,The BIG HELP Stadium,Haig Avenue,"Southport, Merseyside",England,6008,,
2692,Plainmoor Ground,"Marnham Road, Plainmoor","Torquay, Devon",England,6104,,
11929,LNER Community Stadium,"Kathryn Avenue, Huntington","York, North Yorkshire",England,8500,53.9842910,-1.0527430
529,The Perrys Crabble Stadium,"Lewisham Road, River","Dover, Kent",England,6500,,
503,Meadow Park,Broughinge Road,"Borehamwood, Hertfordshire",England,4502,51.6620315,-0.2724395
11894,Cressing Road Stadium,Clockhouse Way,"Braintree, Essex",England,4222,,
20413,RELOC8 EM Community Stadium,"Hayes Lane, Bromley",London,England,5150,,
2693,Eon Visual Media Stadium,Church Road,"North Ferriby, East Yorkshire",England,2700,,
19204,ARMCO Arena,Damson Parkway,"Solihull, West Midlands",England,5500,,
12272,VBS Community Stadium,Gander Green Lane,"Sutton, Surrey",England,7032,,
2689,The Laithwaite Community Stadium,Kingfield Road,"Woking, Surrey",England,6036,,
553,York Road Stadium,York Road,"Maidenhead, Berkshire",England,4000,,
491,Mill Farm Stadium,Coronation Way,Wesham,England,6000,53.7973998,-2.8897122
11897,Kuflink Stadium,Stonebridge Road,"Northfleet, Kent",England,5011,51.4494972,0.3223574
539,The Shay Stadium,Skircoat Road,"Halifax, West Yorkshire",England,10061,53.7160940,-1.8591039
11878,EnviroVent Stadium,Wetherby Road,"Harrogate, North Yorkshire",England,3800,,
542,Westleigh Park,"Martin Road, West Leigh","Havant, Hampshire",England,5250,,
579,The Peninsula Stadium,Moor Lane,"Salford, Greater Manchester",England,5100,,
22764,St. Andrew's @ Knighthead Park,St. Andrew&apos;s Road,Birmingham,England,30009,,
22757,St Helens Stadium,"McManus Drive, Peasley Cross","St Helens, Merseyside",England,17980,,
7736,Eppleton Colliery Football Ground,Park View / Welfare Road,"Hetton-le-Hole, Tyne and Wear",England,2000,,
10607,Kingsmeadow,Jack Goodchild Way,"Kingston upon Thames, Surrey",England,5339,,
22557,Joie Stadium,400 Ashton New Road,Manchester,England,7000,,
8560,Goodison Park,Goodison Road,Liverpool,England,40569,53.4386898,-2.9664193
3526,The Impact Arena,North Street,"Alfreton, Derbyshire",England,3600,,
3527,AGP Arena,Blunts Wall Road,"Billericay, Essex",England,3500,,
21314,Victory Park,Duke Street,"Chorley, Lancashire",England,4100,53.6460264,-2.6294423
3529,Beveree Stadium,Beaver Close,"Hampton, Middlesex",England,3350,,
3530,Coles Park,"Tottenham, Borough of Haringey",London,England,2710,51.6054675,-0.0934807
3531,Top Field,Fishponds Road,"Hitchin, Hertfordshire",England,4000,,
3532,Imber Court,Ember Lane,"East Molesey, Surrey",England,3000,,
19771,RAW Charging Stadium,"Marsh Road, Marston","Oxford, Oxfordshire",England,6075,,
